Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
Additive ['y+'],Al6061,0.01,10800.000000000002,29640.89453125,11194.0,24405.939453125,Supplier-A,11194.0,22348
Additive ['y+'],Al6061,0.01,10800.000000000002,29640.89453125,11194.0,24405.939453125,Supplier-B,11194.0,22348
Additive ['y+'],Al6061,0.005,5400.000000000001,118563.34375,5632.0,12252.9697265625,Supplier-A,5632.0,11224
Additive ['y+'],Al6061,0.005,5400.000000000001,118563.34375,5632.0,12252.9697265625,Supplier-B,5632.0,11224
