Manufacturing Method,Material,Probe,mass,compliance,time,cost
Additive ['y+'],Al6061,high,1105.92,3.06531688920586e-08,1209.0975341796875,2588.92822265625
Additive ['y+'],Al6061,low,11.059198681640627,0.00030623708153143525,81.39097595214844,124.8892822265625
