Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
EDM ['z'],ABSPlastic,1.0,434.17600000000004,0.9183427691459656,55.0,90.868352,Supplier-A,5500.0,9086.84
EDM ['z'],ABSPlastic,0.9,390.758366875,1.1337565183639526,78.80805130635056,186.1005572254022,Supplier-A,7880.82,18686.83
EDM ['z'],ABSPlastic,0.8,347.34086625000003,1.4349104166030884,102.61610261270111,281.33276245080447,Supplier-A,10261.62,28186.84
EDM ['z'],ABSPlastic,0.7,303.92313375000003,1.8741687536239624,126.42415391905169,376.5649676762068,Supplier-A,12642.42,37686.84
EDM ['z'],ABSPlastic,0.6,260.505566875,2.5509517192840576,150.23220522540225,471.79717290160903,Supplier-A,15023.23,47186.84
EDM ['z'],ABSPlastic,0.5,217.08800000000002,3.6733710765838623,174.0402565317528,567.0293781270111,Supplier-A,17404.03,56786.84
EDM ['z'],ABSPlastic,0.4,173.67043312500002,5.7396416664123535,197.84830783810338,662.2615833524135,Supplier-A,19784.83,66286.84
EDM ['z'],ABSPlastic,0.3,130.2527834375,10.203807830810547,221.65635914445394,757.4937885778157,Supplier-A,22165.65,75786.84
EDM ['z'],ABSPlastic,0.2,86.83521656250001,22.95856475830078,245.4644104508045,852.725993803218,Supplier-A,24546.45,85286.84
EDM ['z'],ABSPlastic,0.1,43.417608281250004,91.83426666259766,269.27246175715504,947.9581990286202,Supplier-A,26927.25,94886.84
EDM ['z'],ABSPlastic,0.05,21.708804140625002,367.3370666503906,281.1764874103303,995.5743016413213,Supplier-A,28117.65,99586.84
EDM ['z'],ABSPlastic,0.01,4.3417594824218755,9183.427734375,290.6997079328706,1033.6671837314823,Supplier-A,29069.98,103386.84
EDM ['z'],ABSPlastic,0.005,2.1708797412109377,36733.7109375,291.8901104981881,1038.4287939927524,Supplier-A,29189.02,103886.84
