Mass Constraint (g),Cost Constraint ($),Time Constraint (min),Manufacturing Method,Mass (g),Compliance (Nm),Maximum Displacement (mm),Nominal Time (min),Nominal Cost ($),Material,Supplier,Lead Time (min),Cost ($)
200.0,30000,28800,Additive y+,91.71361476182938,0.2304932028055191,0.21689886643317932,164.39172,306.2459,Al6061,Supplier-B,16439.18,30646.24
200.0,30000,28800,Additive y+,91.71361476182938,0.2304932028055191,0.21689886643317932,164.39172,306.2459,Al6061,Supplier-C,16439.18,46019.37
