Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,1.0,48600.00000000001,0.000343923456966877,115.0,415.79998779296875,Supplier-A,106.0,439.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,1.0,48600.00000000001,0.000343923456966877,115.0,415.79998779296875,Supplier-C,106.0,662.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.9,43739.994726562516,0.0004245969175826758,395.9427185058594,1258.628173828125,Supplier-A,358.9,1369.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.9,43739.994726562516,0.0004245969175826758,395.9427185058594,1258.628173828125,Supplier-C,358.9,2054.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.8,38880.005273437506,0.0005373804015107453,676.8854370117188,2101.456298828125,Supplier-A,611.7,2299.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.8,38880.005273437506,0.0005373804015107453,676.8854370117188,2101.456298828125,Supplier-C,611.7,3446.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.7,34019.9947265625,0.0007018846226856112,957.8283081054688,2944.284912109375,Supplier-A,864.6,3223.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.7,34019.9947265625,0.0007018846226856112,957.8283081054688,2944.284912109375,Supplier-C,864.6,4838.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.6,29160.000000000007,0.0009553428390063345,1238.7708740234375,3787.112548828125,Supplier-A,1117.4,4153.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.6,29160.000000000007,0.0009553428390063345,1238.7708740234375,3787.112548828125,Supplier-C,1117.4,6230.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.5,24300.000000000004,0.001375693827867508,1519.7135009765625,4629.9404296875,Supplier-A,1370.3,5077.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.5,24300.000000000004,0.001375693827867508,1519.7135009765625,4629.9404296875,Supplier-C,1370.3,7616.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.4,19440.002636718753,0.002149521606042981,1800.6563720703125,5472.76904296875,Supplier-A,1623.1,6007.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.4,19440.002636718753,0.002149521606042981,1800.6563720703125,5472.76904296875,Supplier-C,1623.1,9008.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.3,14580.000000000004,0.0038213718216866255,2081.59912109375,6315.5966796875,Supplier-A,1876.0,6931.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.3,14580.000000000004,0.0038213718216866255,2081.59912109375,6315.5966796875,Supplier-C,1876.0,10400.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.2,9720.001318359376,0.008598086424171925,2362.541748046875,7158.4248046875,Supplier-A,2128.8,7861.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.2,9720.001318359376,0.008598086424171925,2362.541748046875,7158.4248046875,Supplier-C,2128.8,11792.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.1,4860.000659179688,0.0343923456966877,2643.484619140625,8001.25390625,Supplier-A,2381.7,8785.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.1,4860.000659179688,0.0343923456966877,2643.484619140625,8001.25390625,Supplier-C,2381.7,13178.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.05,2430.000329589844,0.137569397687912,2783.9560546875,8422.66796875,Supplier-A,2508.1,9247.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.05,2430.000329589844,0.137569397687912,2783.9560546875,8422.66796875,Supplier-C,2508.1,13874.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.01,486.0000000000001,3.439234972000122,2896.3330078125,8759.798828125,Supplier-A,2609.2,9619.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.01,486.0000000000001,3.439234972000122,2896.3330078125,8759.798828125,Supplier-C,2609.2,14432.7
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.005,243.00000000000006,13.756939888000488,2910.380126953125,8801.9404296875,Supplier-A,2621.9,9667.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.005,243.00000000000006,13.756939888000488,2910.380126953125,8801.9404296875,Supplier-C,2621.9,14504.7
