Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
EDM ['z'],Al6061,1.0,1105.92,0.03063856065273285,55.0,93.31775999999999,Supplier-A,5500.0,9331.78
EDM ['z'],Al6061,1.0,1105.92,0.03063856065273285,55.0,93.31775999999999,Supplier-C,5500.0,13997.66
EDM ['z'],Al6061,0.9,995.3279156250001,0.037825386971235275,78.80805130635056,188.54996522540222,Supplier-A,7880.82,18931.78
EDM ['z'],Al6061,0.9,995.3279156250001,0.037825386971235275,78.80805130635056,188.54996522540222,Supplier-C,7880.82,28297.66
EDM ['z'],Al6061,0.8,884.73616875,0.04787275195121765,102.61610261270111,283.7821704508045,Supplier-A,10261.62,28431.78
EDM ['z'],Al6061,0.8,884.73616875,0.04787275195121765,102.61610261270111,283.7821704508045,Supplier-C,10261.62,42597.66
EDM ['z'],Al6061,0.7,774.14383125,0.06252767145633698,126.42415391905169,379.0143756762068,Supplier-A,12642.42,37931.77
EDM ['z'],Al6061,0.7,774.14383125,0.06252767145633698,126.42415391905169,379.0143756762068,Supplier-C,12642.42,56897.66
EDM ['z'],Al6061,0.6,663.5519156249999,0.08510710299015045,150.23220522540225,474.24658090160904,Supplier-A,15023.23,47431.78
EDM ['z'],Al6061,0.6,663.5519156249999,0.08510710299015045,150.23220522540225,474.24658090160904,Supplier-C,15023.23,71197.66
EDM ['z'],Al6061,0.5,552.96,0.122554250061512,174.0402565317528,569.4787861270112,Supplier-A,17404.03,57031.78
EDM ['z'],Al6061,0.5,552.96,0.122554250061512,174.0402565317528,569.4787861270112,Supplier-C,17404.03,85497.66
EDM ['z'],Al6061,0.4,442.368084375,0.1914910078048706,197.84830783810338,664.7109913524135,Supplier-A,19784.83,66531.78
EDM ['z'],Al6061,0.4,442.368084375,0.1914910078048706,197.84830783810338,664.7109913524135,Supplier-C,19784.83,99797.66
EDM ['z'],Al6061,0.3,331.77595781249994,0.3404284417629242,221.65635914445394,759.9431965778158,Supplier-A,22165.65,76031.78
EDM ['z'],Al6061,0.3,331.77595781249994,0.3404284417629242,221.65635914445394,759.9431965778158,Supplier-C,22165.65,113997.67
EDM ['z'],Al6061,0.2,221.1840421875,0.7659640312194824,245.4644104508045,855.175401803218,Supplier-A,24546.45,85531.77
EDM ['z'],Al6061,0.2,221.1840421875,0.7659640312194824,245.4644104508045,855.175401803218,Supplier-C,24546.45,128297.67
EDM ['z'],Al6061,0.1,110.59202109375,3.0638561248779297,269.27246175715504,950.4076070286203,Supplier-A,26927.25,95131.77
EDM ['z'],Al6061,0.1,110.59202109375,3.0638561248779297,269.27246175715504,950.4076070286203,Supplier-C,26927.25,142597.67
EDM ['z'],Al6061,0.05,55.296010546875,12.255426406860352,281.1764874103303,998.0237096413214,Supplier-A,28117.65,99831.77
EDM ['z'],Al6061,0.05,55.296010546875,12.255426406860352,281.1764874103303,998.0237096413214,Supplier-C,28117.65,149797.67
EDM ['z'],Al6061,0.01,11.059198681640627,306.3856506347656,290.6997079328706,1036.1165917314822,Supplier-A,29069.98,103631.77
EDM ['z'],Al6061,0.01,11.059198681640627,306.3856506347656,290.6997079328706,1036.1165917314822,Supplier-C,29069.98,155497.67
EDM ['z'],Al6061,0.005,5.5295993408203135,1225.5426025390625,291.8901104981881,1040.8782019927523,Supplier-A,29189.02,104131.77
EDM ['z'],Al6061,0.005,5.5295993408203135,1225.5426025390625,291.8901104981881,1040.8782019927523,Supplier-C,29189.02,156197.67
