Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,1.0,434.17600000000004,0.9183427691459656,115.0,270.86834716796875,Supplier-A,10600.0,29486.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.9,390.758366875,1.1337565183639526,121.71145629882812,291.0027160644531,Supplier-A,11204.1,31886.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.8,347.34086625000003,1.4349104166030884,128.4228973388672,311.1370544433594,Supplier-A,11808.1,34286.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.7,303.92313375000003,1.8741687536239624,135.13436889648438,331.27142333984375,Supplier-A,12412.1,36686.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.6,260.505566875,2.5509517192840576,141.8458251953125,351.4057922363281,Supplier-A,13016.2,38486.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.5,217.08800000000002,3.6733710765838623,148.55726623535156,371.5401611328125,Supplier-A,13620.2,40886.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.4,173.67043312500002,5.7396416664123535,155.2687225341797,391.67449951171875,Supplier-A,14224.2,43286.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.3,130.2527834375,10.203807830810547,161.98016357421875,411.8088684082031,Supplier-A,14828.3,45086.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.2,86.83521656250001,22.95856475830078,168.69161987304688,431.9432373046875,Supplier-A,15432.3,47486.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.1,43.417608281250004,91.83426666259766,175.403076171875,452.07757568359375,Supplier-A,16036.3,49886.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.05,21.708804140625002,367.3370666503906,178.75880432128906,462.144775390625,Supplier-A,16338.3,51086.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.01,4.3417594824218755,9183.427734375,181.44338989257812,470.1985168457031,Supplier-A,16580.0,51686.84
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.005,2.1708797412109377,36733.7109375,181.77896118164062,471.2052307128906,Supplier-A,16610.2,51686.84
