Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
EDM ['y'],Ti6Al4V,1.0,1772000.0000000005,1.7435768842697144,55.0,177290.00000000006,Supplier-A,66.0,117
EDM ['y'],Ti6Al4V,0.9,1594799.7296142583,2.1525630950927734,3775.0080166172756,192170.03206646917,Supplier-A,4530.02,19462
EDM ['y'],Ti6Al4V,0.8,1417600.1351928716,2.724031925201416,7495.016033234551,207050.06413293828,Supplier-A,8994.03,38806
EDM ['y'],Ti6Al4V,0.7,1240399.8648071291,3.559018850326538,11215.02404985183,221930.0961994074,Supplier-A,13458.03,58150
EDM ['y'],Ti6Al4V,0.6,1063200.0675964358,4.841446876525879,14935.032066469108,236810.1282658765,Supplier-A,17922.05,77494
EDM ['y'],Ti6Al4V,0.5,886000.0000000002,6.974291801452637,18655.040083086384,251690.16033234558,Supplier-A,22386.05,96838
EDM ['y'],Ti6Al4V,0.4,708800.0675964358,10.896036148071289,22375.048099703657,266570.1923988147,Supplier-A,26850.07,116182
EDM ['y'],Ti6Al4V,0.3,531600.0337982179,19.365568161010742,26095.05611632093,281450.2244652838,Supplier-A,31314.08,135526
EDM ['y'],Ti6Al4V,0.2,354400.0337982179,43.584163665771484,29815.064132938216,296330.25653175294,Supplier-A,35778.08,154870
EDM ['y'],Ti6Al4V,0.1,177200.01689910894,174.3372344970703,33535.07214955549,311210.288598222,Supplier-A,40242.1,174214
EDM ['y'],Ti6Al4V,0.05,88600.00844955447,697.3466186523438,35395.076157864125,318650.30463145656,Supplier-A,42474.1,183886
EDM ['y'],Ti6Al4V,0.01,17720.000000000007,17434.7109375,36883.07936451104,324602.3174580442,Supplier-A,44259.7,191623
EDM ['y'],Ti6Al4V,0.005,8860.000000000004,69738.828125,37069.0797653419,325346.31906136766,Supplier-A,44482.9,192591
