Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,1.0,1105.92,0.03063856065273285,115.0,273.3177490234375,Supplier-A,10600.0,29731.78
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,1.0,1105.92,0.03063856065273285,115.0,273.3177490234375,Supplier-C,10600.0,44897.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.9,995.3279156250001,0.037825386971235275,121.39300537109375,292.49676513671875,Supplier-A,11175.4,32131.78
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.9,995.3279156250001,0.037825386971235275,121.39300537109375,292.49676513671875,Supplier-C,11175.4,48497.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.8,884.73616875,0.04787275195121765,127.7860107421875,311.67578125,Supplier-A,11750.8,34531.77
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.8,884.73616875,0.04787275195121765,127.7860107421875,311.67578125,Supplier-C,11750.8,51497.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.7,774.14383125,0.06252767145633698,134.1790313720703,330.8548278808594,Supplier-A,12326.2,36331.77
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.7,774.14383125,0.06252767145633698,134.1790313720703,330.8548278808594,Supplier-C,12326.2,54497.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.6,663.5519156249999,0.08510710299015045,140.57203674316406,350.0338439941406,Supplier-A,12901.5,38731.77
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.6,663.5519156249999,0.08510710299015045,140.57203674316406,350.0338439941406,Supplier-C,12901.5,58097.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.5,552.96,0.122554250061512,146.96502685546875,369.2128601074219,Supplier-A,13476.9,40531.77
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.5,552.96,0.122554250061512,146.96502685546875,369.2128601074219,Supplier-C,13476.9,61097.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.4,442.368084375,0.1914910078048706,153.35804748535156,388.3918762207031,Supplier-A,14052.3,42931.78
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.4,442.368084375,0.1914910078048706,153.35804748535156,388.3918762207031,Supplier-C,14052.3,64097.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.3,331.77595781249994,0.3404284417629242,159.7510528564453,407.5709228515625,Supplier-A,14627.6,44731.78
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.3,331.77595781249994,0.3404284417629242,159.7510528564453,407.5709228515625,Supplier-C,14627.6,67097.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.2,221.1840421875,0.7659640312194824,166.14405822753906,426.74993896484375,Supplier-A,15203.0,47131.78
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.2,221.1840421875,0.7659640312194824,166.14405822753906,426.74993896484375,Supplier-C,15203.0,70697.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.1,110.59202109375,3.0638561248779297,172.5370635986328,445.928955078125,Supplier-A,15778.4,48931.78
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.1,110.59202109375,3.0638561248779297,172.5370635986328,445.928955078125,Supplier-C,15778.4,73697.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.05,55.296010546875,12.255426406860352,175.7335662841797,455.5184631347656,Supplier-A,16066.1,50131.78
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.05,55.296010546875,12.255426406860352,175.7335662841797,455.5184631347656,Supplier-C,16066.1,75497.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.01,11.059198681640627,306.3856506347656,178.290771484375,463.1900634765625,Supplier-A,16296.2,50731.78
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.01,11.059198681640627,306.3856506347656,178.290771484375,463.1900634765625,Supplier-C,16296.2,76697.66
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.005,5.5295993408203135,1225.5426025390625,178.6104278564453,464.1490173339844,Supplier-A,16325.0,50731.78
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Al6061,0.005,5.5295993408203135,1225.5426025390625,178.6104278564453,464.1490173339844,Supplier-C,16325.0,76697.66
