Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
EDM ['z'],Al6061,1.0,48600.00000000001,0.000343923456966877,55.0,235.8,Supplier-A,55.0,235.8
EDM ['z'],Al6061,1.0,48600.00000000001,0.000343923456966877,55.0,235.8,Supplier-C,55.0,353.7
EDM ['z'],Al6061,0.9,43739.994726562516,0.0004245969175826758,473.50090186944345,1909.8036074777738,Supplier-A,473.52,1910.8
EDM ['z'],Al6061,0.9,43739.994726562516,0.0004245969175826758,473.50090186944345,1909.8036074777738,Supplier-C,473.52,2865.7
EDM ['z'],Al6061,0.8,38880.005273437506,0.0005373804015107453,892.0018037388869,3583.807214955548,Supplier-A,892.02,3584.8
EDM ['z'],Al6061,0.8,38880.005273437506,0.0005373804015107453,892.0018037388869,3583.807214955548,Supplier-C,892.02,5376.7
EDM ['z'],Al6061,0.7,34019.9947265625,0.0007018846226856112,1310.5027056083309,5257.810822433324,Supplier-A,1310.52,5258.8
EDM ['z'],Al6061,0.7,34019.9947265625,0.0007018846226856112,1310.5027056083309,5257.810822433324,Supplier-C,1310.52,7887.7
EDM ['z'],Al6061,0.6,29160.000000000007,0.0009553428390063345,1729.0036074777743,6931.814429911097,Supplier-A,1729.02,6932.8
EDM ['z'],Al6061,0.6,29160.000000000007,0.0009553428390063345,1729.0036074777743,6931.814429911097,Supplier-C,1729.02,10398.7
EDM ['z'],Al6061,0.5,24300.000000000004,0.001375693827867508,2147.5045093472177,8605.81803738887,Supplier-A,2147.52,8606.8
EDM ['z'],Al6061,0.5,24300.000000000004,0.001375693827867508,2147.5045093472177,8605.81803738887,Supplier-C,2147.52,12909.7
EDM ['z'],Al6061,0.4,19440.002636718753,0.002149521606042981,2566.0054112166613,10279.821644866644,Supplier-A,2566.02,10280.8
EDM ['z'],Al6061,0.4,19440.002636718753,0.002149521606042981,2566.0054112166613,10279.821644866644,Supplier-C,2566.02,15420.7
EDM ['z'],Al6061,0.3,14580.000000000004,0.0038213718216866255,2984.5063130861045,11953.825252344417,Supplier-A,2984.52,11954.8
EDM ['z'],Al6061,0.3,14580.000000000004,0.0038213718216866255,2984.5063130861045,11953.825252344417,Supplier-C,2984.52,17931.7
EDM ['z'],Al6061,0.2,9720.001318359376,0.008598086424171925,3403.0072149555485,13627.828859822193,Supplier-A,3403.02,13628.8
EDM ['z'],Al6061,0.2,9720.001318359376,0.008598086424171925,3403.0072149555485,13627.828859822193,Supplier-C,3403.02,20442.7
EDM ['z'],Al6061,0.1,4860.000659179688,0.0343923456966877,3821.5081168249917,15301.832467299966,Supplier-A,3821.52,15302.8
EDM ['z'],Al6061,0.1,4860.000659179688,0.0343923456966877,3821.5081168249917,15301.832467299966,Supplier-C,3821.52,22953.7
EDM ['z'],Al6061,0.05,2430.000329589844,0.137569397687912,4030.758567759713,16138.834271038852,Supplier-A,4030.77,16139.8
EDM ['z'],Al6061,0.05,2430.000329589844,0.137569397687912,4030.758567759713,16138.834271038852,Supplier-C,4030.77,24208.7
EDM ['z'],Al6061,0.01,486.0000000000001,3.439234972000122,4198.158928507491,16808.43571402996,Supplier-A,4198.17,16808.8
EDM ['z'],Al6061,0.01,486.0000000000001,3.439234972000122,4198.158928507491,16808.43571402996,Supplier-C,4198.17,25212.7
EDM ['z'],Al6061,0.005,243.00000000000006,13.756939888000488,4219.083973600963,16892.13589440385,Supplier-A,4219.1,16892.8
EDM ['z'],Al6061,0.005,243.00000000000006,13.756939888000488,4219.083973600963,16892.13589440385,Supplier-C,4219.1,25338.7
