Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,1.0,1772000.0000000005,0.044635653495788574,115.0,177470.0,Supplier-A,106.0,177494.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,1.0,1772000.0000000005,0.044635653495788574,115.0,177470.0,Supplier-C,106.0,266244.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.9,1594799.7296142583,0.055105749517679214,61370.75,361237.25,Supplier-A,55236.2,379640.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.9,1594799.7296142583,0.055105749517679214,61370.75,361237.25,Supplier-C,55236.2,569460.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.8,1417600.1351928716,0.06974320858716965,122626.5,545004.5,Supplier-A,110366.4,581786.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.8,1417600.1351928716,0.06974320858716965,122626.5,545004.5,Supplier-C,110366.4,872676.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.7,1240399.8648071291,0.09109318256378174,183882.25,728771.75,Supplier-A,165496.6,783926.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.7,1240399.8648071291,0.09109318256378174,183882.25,728771.75,Supplier-C,165496.6,1175892.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.6,1063200.0675964358,0.12398792058229446,245138.0,912539.0,Supplier-A,220626.7,986072.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.6,1063200.0675964358,0.12398792058229446,245138.0,912539.0,Supplier-C,220626.7,1479108.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.5,886000.0000000002,0.1785426288843155,306393.71875,1096306.125,Supplier-A,275756.9,1188218.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.5,886000.0000000002,0.1785426288843155,306393.71875,1096306.125,Supplier-C,275756.9,1782324.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.4,708800.0675964358,0.2789728343486786,367649.5,1280073.5,Supplier-A,330887.1,1390358.1
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.4,708800.0675964358,0.2789728343486786,367649.5,1280073.5,Supplier-C,330887.1,2085540.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.3,531600.0337982179,0.49595165252685547,428905.21875,1463840.625,Supplier-A,386017.3,1592504.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.3,531600.0337982179,0.49595165252685547,428905.21875,1463840.625,Supplier-C,386017.3,2388756.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.2,354400.0337982179,1.1158913373947144,490161.0,1647608.0,Supplier-A,441147.4,1794649.9
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.2,354400.0337982179,1.1158913373947144,490161.0,1647608.0,Supplier-C,441147.4,2691971.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.1,177200.01689910894,4.463565349578857,551416.75,1831375.25,Supplier-A,496277.6,1996790.1
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.1,177200.01689910894,4.463565349578857,551416.75,1831375.25,Supplier-C,496277.6,2995187.8
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.05,88600.00844955447,17.854263305664062,582044.625,1923258.875,Supplier-A,523842.7,2097866.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.05,88600.00844955447,17.854263305664062,582044.625,1923258.875,Supplier-C,523842.7,3146796.3
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.01,17720.000000000007,446.3565673828125,606546.9375,1996765.75,Supplier-A,545894.8,2178722.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.01,17720.000000000007,446.3565673828125,606546.9375,1996765.75,Supplier-C,545894.8,3268086.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.005,8860.000000000004,1785.42626953125,609609.6875,2005954.0,Supplier-A,548651.2,2188832.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",Ti6Al4V,0.005,8860.000000000004,1785.42626953125,609609.6875,2005954.0,Supplier-C,548651.2,3283248.0
