Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,1.0,19080.000000000004,0.01026563998311758,115.0,308.1600036621094,Supplier-A,106.0,332.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.9,17171.997929687503,0.012673629447817802,409.9369201660156,1192.9708251953125,Supplier-A,371.5,1310.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.8,15264.002070312503,0.016040058806538582,704.8738403320312,2077.781494140625,Supplier-A,636.9,2282.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.7,13355.997929687503,0.020950283855199814,999.8109130859375,2962.592529296875,Supplier-A,902.4,3254.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.6,11448.000000000002,0.028515659272670746,1294.7476806640625,3847.403076171875,Supplier-A,1167.8,4226.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.5,9540.000000000002,0.04106255993247032,1589.6845703125,4732.2138671875,Supplier-A,1433.3,5204.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.4,7632.001035156251,0.06416023522615433,1884.62158203125,5617.02490234375,Supplier-A,1698.7,6176.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.3,5724.000000000001,0.11406264454126358,2179.558349609375,6501.8349609375,Supplier-A,1964.2,7148.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.2,3816.0005175781257,0.2566409409046173,2474.495361328125,7386.646484375,Supplier-A,2229.6,8120.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.1,1908.0002587890629,1.0265637636184692,2769.432373046875,8271.45703125,Supplier-A,2495.0,9092.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.05,954.0001293945314,4.106255531311035,2916.90087890625,8713.86328125,Supplier-A,2627.8,9584.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.01,190.80000000000004,102.6563949584961,3034.87548828125,9067.787109375,Supplier-A,2733.9,9968.16
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.005,95.40000000000002,410.6255798339844,3049.622314453125,9112.02734375,Supplier-A,2747.2,10022.16
