Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
EDM ['y'],ABSplastic,1.0,424000.00000000006,86.1089859008789,55.0,938.0000000000001,Supplier-A,44.0,72
EDM ['y'],ABSplastic,0.9,381599.9353027345,106.19734191894531,3775.0080166172756,15818.032066469103,Supplier-A,3020.02,11977
EDM ['y'],ABSplastic,0.8,339200.03234863287,134.5634765625,7495.016033234551,30698.064132938205,Supplier-A,5996.02,23881
EDM ['y'],ABSplastic,0.7,296799.96765136725,175.6386260986328,11215.02404985183,45578.09619940732,Supplier-A,8972.03,35785
EDM ['y'],ABSplastic,0.6,254400.01617431644,239.04441833496094,14935.032066469108,60458.12826587643,Supplier-A,11948.03,47689
EDM ['y'],ABSplastic,0.5,212000.00000000003,344.435791015625,18655.040083086384,75338.16033234553,Supplier-A,14924.03,59593
EDM ['y'],ABSplastic,0.4,169600.01617431644,538.2565307617188,22375.048099703657,90218.19239881463,Supplier-A,17900.05,71497
EDM ['y'],ABSplastic,0.3,127200.00808715822,956.1790161132812,26095.05611632093,105098.22446528373,Supplier-A,20876.05,83401
EDM ['y'],ABSplastic,0.2,84800.00808715822,2153.023681640625,29815.064132938216,119978.25653175286,Supplier-A,23852.07,95305
EDM ['y'],ABSplastic,0.1,42400.00404357911,8612.0830078125,33535.07214955549,134858.28859822196,Supplier-A,26828.07,107209
EDM ['y'],ABSplastic,0.05,21200.002021789554,34448.33984375,35395.076157864125,142298.3046314565,Supplier-A,28316.07,113161
EDM ['y'],ABSplastic,0.01,4240.000000000001,861206.5625,36883.07936451104,148250.31745804416,Supplier-A,29506.47,117922
EDM ['y'],ABSplastic,0.005,2120.0000000000005,3444832.5,37069.0797653419,148994.3190613676,Supplier-A,29655.27,118518
