Mass Constraint (g),Cost Constraint ($),Time Constraint (min),Manufacturing Method,Mass (g),Compliance (Nm),Maximum Displacement (mm),Nominal Time (min),Nominal Cost ($),Material,Supplier,Lead Time (min),Cost ($)
500000,175000,89280,Additive y+,76022.15576171875,0.6731228828430176,0.038506618841182005,79175.86,172946.3,Al6061,Supplier-B,79175.87,172946.58
500000,175000,89280,Additive y+,76022.15576171875,0.6731228828430176,0.038506618841182005,79175.86,172946.3,Al6061,Supplier-C,79175.87,259419.88
