Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
Additive ['y+'],Al6061,0.4,432000.0411987306,18.52837371826172,445030.0,972337.625,Supplier-A,445030.0,890020
Additive ['y+'],Al6061,0.4,432000.0411987306,18.52837371826172,445030.0,972337.625,Supplier-B,449680.0,890020
Additive ['y+'],Al6061,0.3,324000.0205993653,32.92453384399414,333790.0,729278.1875,Supplier-A,333790.03,667541
Additive ['y+'],Al6061,0.3,324000.0205993653,32.92453384399414,333790.0,729278.1875,Supplier-B,338440.03,667541
Additive ['y+'],Al6061,0.2,216000.0205993653,74.11354064941406,222550.0,486218.8125,Supplier-A,222550.0,445060
Additive ['y+'],Al6061,0.2,216000.0205993653,74.11354064941406,222550.0,486218.8125,Supplier-B,227200.0,445060
Additive ['y+'],Al6061,0.1,108000.01029968265,296.45355224609375,111310.0,243159.40625,Supplier-A,111310.0,222580
Additive ['y+'],Al6061,0.1,108000.01029968265,296.45355224609375,111310.0,243159.40625,Supplier-B,115960.0,222580
Additive ['y+'],Al6061,0.05,54000.00514984132,1185.8154296875,55690.0,121629.703125,Supplier-A,55690.0,111340
Additive ['y+'],Al6061,0.05,54000.00514984132,1185.8154296875,55690.0,121629.703125,Supplier-B,60340.0,111340
Additive ['y+'],Al6061,0.01,10800.000000000002,29640.93359375,11194.0,24405.939453125,Supplier-A,11194.0,22348
Additive ['y+'],Al6061,0.01,10800.000000000002,29640.93359375,11194.0,24405.939453125,Supplier-B,11194.0,22348
Additive ['y+'],Al6061,0.005,5400.000000000001,118563.7734375,5632.0,12252.9697265625,Supplier-A,5632.0,11224
Additive ['y+'],Al6061,0.005,5400.000000000001,118563.7734375,5632.0,12252.9697265625,Supplier-B,5632.0,11224
