Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,1.0,424000.00000000006,2.2036890983581543,115.0,1118.0,Supplier-A,106.0,1142.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.9,381599.9353027345,2.7206039428710938,6669.154296875,20780.462890625,Supplier-A,6004.8,22772.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.8,339200.03234863287,3.4432637691497803,13223.30859375,40442.92578125,Supplier-A,11903.5,44402.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.7,296799.96765136725,4.497323989868164,19777.4609375,60105.3828125,Supplier-A,17802.3,66032.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.6,254400.01617431644,6.121356964111328,26331.6171875,79767.8515625,Supplier-A,23701.0,87662.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.5,212000.00000000003,8.8147554397583,32885.76953125,99430.3125,Supplier-A,29599.7,109286.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.4,169600.01617431644,13.773056030273438,39439.921875,119092.765625,Supplier-A,35498.5,130916.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.3,127200.00808715822,24.485429763793945,45994.07421875,138755.21875,Supplier-A,41397.2,152546.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.2,84800.00808715822,55.09222412109375,52548.234375,158417.703125,Supplier-A,47296.0,174176.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.1,42400.00404357911,220.368896484375,59102.38671875,178080.15625,Supplier-A,53194.7,195806.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.05,21200.002021789554,881.4755859375,62379.46484375,187911.390625,Supplier-A,56144.1,206618.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.01,4240.000000000001,22036.892578125,65001.125,195776.375,Supplier-A,58503.6,215270.0
"Subtractive ['x+', 'x-', 'y+', 'y-', 'z+', 'z-']",ABSPlastic,0.005,2120.0000000000005,88147.5625,65328.8359375,196759.5,Supplier-A,58798.5,216350.0
