Manufacturing Method,Material,Probe,Mass (g),Compliance (Nm),Nominal Time (min),Nominal Cost ($),Supplier,Lead Time (min),Cost ($)
Additive ['y+'],Al6061,1.0,48600.00000000001,0.000343923456966877,50127.99609375,109476.71875,Supplier-B,50128.0,109476.73
Additive ['y+'],Al6061,1.0,48600.00000000001,0.000343923456966877,50127.99609375,109476.71875,Supplier-C,50128.0,164215.1
Additive ['y+'],Al6061,0.9,43739.994726562516,0.0004245969175826758,45122.19921875,98539.0546875,Supplier-B,45122.2,98539.66
Additive ['y+'],Al6061,0.9,43739.994726562516,0.0004245969175826758,45122.19921875,98539.0546875,Supplier-C,45122.2,147808.98
Additive ['y+'],Al6061,0.8,38880.005273437506,0.0005373804015107453,40116.3984375,87601.3828125,Supplier-B,40116.42,87601.59
Additive ['y+'],Al6061,0.8,38880.005273437506,0.0005373804015107453,40116.3984375,87601.3828125,Supplier-C,40116.42,131402.88
Additive ['y+'],Al6061,0.7,34019.9947265625,0.0007018846226856112,35110.59375,76663.6953125,Supplier-B,35110.6,76664.51
Additive ['y+'],Al6061,0.7,34019.9947265625,0.0007018846226856112,35110.59375,76663.6953125,Supplier-C,35110.6,114995.77
Additive ['y+'],Al6061,0.6,29160.000000000007,0.0009553428390063345,30104.798828125,65726.0390625,Supplier-B,30104.8,65726.44
Additive ['y+'],Al6061,0.6,29160.000000000007,0.0009553428390063345,30104.798828125,65726.0390625,Supplier-C,30104.8,98589.66
Additive ['y+'],Al6061,0.5,24300.000000000004,0.001375693827867508,25098.998046875,54788.359375,Supplier-B,25099.0,54788.36
Additive ['y+'],Al6061,0.5,24300.000000000004,0.001375693827867508,25098.998046875,54788.359375,Supplier-C,25099.0,82182.54
Additive ['y+'],Al6061,0.4,19440.002636718753,0.002149521606042981,20093.19921875,43850.69140625,Supplier-B,20093.22,43851.3
Additive ['y+'],Al6061,0.4,19440.002636718753,0.002149521606042981,20093.19921875,43850.69140625,Supplier-C,20093.22,65776.44
Additive ['y+'],Al6061,0.3,14580.000000000004,0.0038213718216866255,15087.3994140625,32913.01953125,Supplier-B,15087.4,32913.22
Additive ['y+'],Al6061,0.3,14580.000000000004,0.0038213718216866255,15087.3994140625,32913.01953125,Supplier-C,15087.4,49370.33
Additive ['y+'],Al6061,0.2,9720.001318359376,0.008598086424171925,10081.599609375,21975.345703125,Supplier-B,10081.62,21976.15
Additive ['y+'],Al6061,0.2,9720.001318359376,0.008598086424171925,10081.599609375,21975.345703125,Supplier-C,10081.62,32963.22
Additive ['y+'],Al6061,0.1,4860.000659179688,0.0343923456966877,5075.7998046875,11037.6728515625,Supplier-B,5075.82,11038.07
Additive ['y+'],Al6061,0.1,4860.000659179688,0.0343923456966877,5075.7998046875,11037.6728515625,Supplier-C,5075.82,16557.11
Additive ['y+'],Al6061,0.05,2430.000329589844,0.137569397687912,2572.89990234375,5568.83642578125,Supplier-B,2572.92,5569.04
Additive ['y+'],Al6061,0.05,2430.000329589844,0.137569397687912,2572.89990234375,5568.83642578125,Supplier-C,2572.92,8353.56
Additive ['y+'],Al6061,0.01,486.0000000000001,3.439234972000122,570.5799560546875,1193.7672119140625,Supplier-B,570.58,1194.61
Additive ['y+'],Al6061,0.01,486.0000000000001,3.439234972000122,570.5799560546875,1193.7672119140625,Supplier-C,570.58,1790.91
Additive ['y+'],Al6061,0.005,243.00000000000006,13.756939888000488,320.28997802734375,646.8836059570312,Supplier-B,320.3,647.3
Additive ['y+'],Al6061,0.005,243.00000000000006,13.756939888000488,320.28997802734375,646.8836059570312,Supplier-C,320.3,970.46
