Mass Constraint (g),Cost Constraint ($),Time Constraint (min),Manufacturing Method,Mass (g),Compliance (Nm),Maximum Displacement (mm),Nominal Time (min),Nominal Cost ($),Material,Supplier,Lead Time (min),Cost ($)
500000,175000,89280,EDM y,502107.7575683594,0.12501172721385956,0.005317518214384603,9892.184472624956,42678.73789049983,Al6061,Supplier-A,9892.2,42679.0
500000,175000,89280,EDM y,502107.7575683594,0.12501172721385956,0.005317518214384603,9892.184472624956,42678.73789049983,Al6061,Supplier-C,9892.2,64019.0
